Sr No.	Status Bitbucket	Status Bamboo	Project Name	Bitbucket Group Name	Bitbucket Clone URL	Bamboo plan conversion on hold	Bamboo Group Name	Bamboo Link	Master Branch	Additional branches for migration	Comments	Repo_migration_Status	Repo_Mirroring_status
20			Nice.ApplicationFramework	ApplicationFramework	http://bitbucket.cssrd.local/projects/AP/repos/nice.applicationframework/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-APF368-64/artifact	RELEASE-3.20			Done	Done
21			Nice.ApplicationFramework.Client	ApplicationFramework	http://bitbucket.cssrd.local/projects/AP/repos/nice.applicationframework.client/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-APFC107-8/artifact	RELEASE-2.23			Done	Done
22			ApplicationPlugins.RoleConfiguration	ApplicationPlugins	http://bitbucket.cssrd.local/projects/APL/repos/applicationplugins.roleconfiguration/browse		ApplicationPlugins	http://bamboo.cssrd.local/browse/AP-APPRC-48/artifact	MASTER	"release-1.0, release-1.2"		Done	Done
23			Compass.Configuration	Compass	http://bitbucket.cssrd.local/projects/COM/repos/compass.configuration/browse		Compass Reporting	http://bamboo.cssrd.local/browse/COM-COMCON-37/artifact	MASTER	release-1.9.0		Done	Done
24			Compass.Reporting	Compass	http://bitbucket.cssrd.local/projects/COM/repos/compass.reporting/browse		Compass Reporting	http://bamboo.cssrd.local/browse/COM-COMREP-141				Done	Done
25			UIControls.Explorer	ApplicationFramework UI Controls	http://bitbucket.cssrd.local/projects/AUC/repos/uicontrols.explorer/browse			http://bamboo.cssrd.local/browse/CS-UICE-41/artifact	MASTER	"release-1.15.0, release-1.16 ,release-1.17, release-1.18, release-1.19, release-1.20"		Done	Done
26			Bootstrapper.Generic	Essentials	http://bitbucket.cssrd.local/projects/ESS/repos/bootstrapper.generic/browse				REL-v3.17.0			Done	Done
27			CyberTech.MAX	Compass	http://bitbucket.cssrd.local/projects/COM/repos/cybertech.max/browse			http://bamboo.cssrd.local/browse/FUS-CYB94-27/artifact	RELEASE-2.10			Done	Done
28			HTML5 Player	ApplicationFramework UI Controls	http://bitbucket.cssrd.local/projects/AUC/repos/uicontrols.html5player/browse			http://bamboo.cssrd.local/browse/CS-PLAYER72-3/artifact	RELEASE-1.21			Done	Done
29			Nice.MediaSources.NTR	CS	http://bitbucket.cssrd.local/projects/CS/repos/nice.mediasources.ntr/browse			http://bamboo.cssrd.local/browse/NTR-MSN35-22/artifact	RELEASE-1.12.0			Done	Done
30			Cybertech.CoreApi	Essentials	http://bitbucket.cssrd.local/projects/ESS/repos/cybertech.coreapi/browse			http://bamboo.cssrd.local/browse/API-CORAPI-144/artifact				Done	Done
31			ApplicationFramework.NDRWrapper	CS	http://bitbucket.cssrd.local/projects/CS/repos/applicationframework.ndrwrapper/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-NDRW19-3/artifact	RELEASE-1.15.0			Done	Done
32			CoreLibraries.Logging	InternalTooling	http://bitbucket.cssrd.local/projects/IN/repos/corelibraries.logging/browse		CoreLibraries	http://bamboo.cssrd.local/browse/COR-CORLOG-89/artifact				Done	Done
33			TranscriptionAgent	CS	http://bitbucket.cssrd.local/projects/CS/repos/transcriptionagent/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-TP-280/artifact	MASTER	"release-2.1.0, release-2.2.0 ,release-2.3.0, release-2.4, release-2.5, release-2.6"		Done	Done
34			ApplicationPlugins.Fusion.Alarms	Fusion plugins	http://bitbucket.cssrd.local/projects/FP/repos/applicationplugins.fusion.alarms/browse		ApplicationPlugins	http://bamboo.cssrd.local/browse/AP-APFAM-26/artifact	MASTER	REL-v1.0.1	Tag	Done	Done
35			ApplicationPlugins.Fusion.AuditTrail	Fusion plugins	http://bitbucket.cssrd.local/projects/FP/repos/applicationplugins.fusion.audittrail/browse		ApplicationPlugins	http://bamboo.cssrd.local/browse/AP-APADT-31/artifact	MASTER		Tag	Done	Done
36			ApplicationPlugins.Fusion.GlobalSettings	Fusion plugins	http://bitbucket.cssrd.local/projects/FP/repos/applicationplugins.fusion.globalsettings/browse		ApplicationPlugins	http://bamboo.cssrd.local/browse/AP-APFGS-16/artifact	MASTER	REL-v1.0.1		Done	Done
37			ApplicationPlugins.Fusion.LitigationHoldRules	Fusion plugins	http://bitbucket.cssrd.local/projects/FP/repos/applicationplugins.fusion.litigationholdrules/browse		ApplicationPlugins	http://bamboo.cssrd.local/browse/AP-APLHR-35/artifact	MASTER	"release/1.1.2, REL-v1.0.1"		Done	Done
38			ApplicationPlugins.Fusion.NtrClustersAdministration	Fusion plugins	http://bitbucket.cssrd.local/projects/FP/repos/applicationplugins.fusion.ntrclustersadministration/browse		ApplicationPlugins	http://bamboo.cssrd.local/browse/AP-APNCA-17/artifact	MASTER	release/1.1.2		Done	Done
39			ApplicationPlugins.Fusion.NtrClustersStatus	Fusion plugins	http://bitbucket.cssrd.local/projects/FP/repos/applicationplugins.fusion.ntrclustersstatus/browse		ApplicationPlugins	http://bamboo.cssrd.local/browse/AP-APNCS-14/artifact	RELEASE-1.1.2			Done	Done
40			ApplicationPlugins.Fusion.UserAdministration	Fusion plugins	http://bitbucket.cssrd.local/projects/FP/repos/applicationplugins.fusion.useradministration/browse		ApplicationPlugins	http://bamboo.cssrd.local/browse/AP-APFUA-14/artifact	MASTER			Done	Done
41			RabbitMQ	Third Party Wrappers	http://bitbucket.cssrd.local/projects/TPW/repos/rabbitmq/browse		NuGet packages for 3rd party components	http://bamboo.cssrd.local/browse/NPF3P-RNE18-3/artifact	RELEASE-3.13			Done	Done
42			ApplicationFramework.Reporting	ApplicationFramework	http://bitbucket.cssrd.local/projects/AP/repos/applicationframework.reporting/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-AP-160/artifact	MASTER			Done	Done
43			ApplicationPlugins.Labels	CS Plugins	http://bitbucket.cssrd.local/projects/CSP/repos/applicationplugins.labels/browse		ApplicationPlugins	http://bamboo.cssrd.local/browse/AP-APL-17/artifact	MASTER	"release-1.4, release-1.5, release-1.6"		Done	Done
44			ApplicationPlugins.Monitoring	ApplicationPlugins	http://bitbucket.cssrd.local/projects/APL/repos/applicationplugins.monitoring/browse		ApplicationPlugins	http://bamboo.cssrd.local/browse/AP-APFBM-7/artifact	MASTER	release/1.4		Done	Done
45			ApplicationPlugins.RandomSampling	CS Plugins	http://bitbucket.cssrd.local/projects/CSP/repos/applicationplugins.randomsampling/browse		ApplicationPlugins	http://bamboo.cssrd.local/browse/AP-APRS-94/artifact	MASTER	"release/1.2, release/1.5, release/1.6, release/1.7"		Done	Done
46			ApplicationPlugins.RoleConfiguration	ApplicationPlugins	http://bitbucket.cssrd.local/projects/APL/repos/applicationplugins.roleconfiguration/browse		ApplicationPlugins	http://bamboo.cssrd.local/browse/AP-APPRC-48/artifact	MASTER	"release-1.0, release-1.2"		Done	Done
47			NiceTradingRecording.Shared	CS Media Sources	http://bitbucket.cssrd.local/projects/CSMS/repos/nicetradingrecording.shared/browse		Communication Surveillance Media Sources	http://bamboo.cssrd.local/browse/CSMS-MNS-6/artifact	MASTER			Done	Done
48			NexidiaSearchgrid.Configurationplugin	CS	http://bitbucket.cssrd.local/projects/CS/repos/nexidiasearchgrid.configurationplugin/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-NCP-177/artifact	MASTER			Done	Done
49			Nice.ActiveIntelligenceEngine.ODBC	CS	http://bitbucket.cssrd.local/projects/CS/repos/nice.activeintelligenceengine.odbc/browse		Communication Surveillance		MASTER	REL-v2.0.0		Done	Done
50			Nice.ApplicationPlugins.Explorer	CS	http://bitbucket.cssrd.local/projects/CS/repos/nice.applicationplugins.explorer/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-CSE-60/artifact	MASTER	"release/1.10, release/1.11, release/1.12.0, release/1.13, release/1.14"		Done	Done
51			Nice.AppPlugins.FieldConfiguration	CS	http://bitbucket.cssrd.local/projects/CS/repos/nice.appplugins.fieldconfiguration/browse		ApplicationPlugins	http://bamboo.cssrd.local/browse/AP-APPFC-17/artifact	MASTER	"release-2.3, release-2.4, release-2.5, release-2.6"		Done	Done
52			Nice.AppPlugins.IndexingConfiguration	CS	http://bitbucket.cssrd.local/projects/CS/repos/nice.appplugins.indexingconfiguration/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-NICINDEX-1/artifact	MASTER	REL-v2.1.0		Done	Done
53			Nice.NDR.Synchronization.Attivio	CS	http://bitbucket.cssrd.local/projects/CS/repos/nice.ndr.synchronization.attivio/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-NSNC-32/artifact	MASTER	release-1.11		Done	Done
54			Nice.ProActiveCompliance.Installer	CS	http://bitbucket.cssrd.local/projects/CS/repos/nice.proactivecompliance.installer/browse	Bamboo plan conversion on hold	Communication Surveillance	http://bamboo.cssrd.local/browse/CS-CSI-843/artifact	MASTER	"release-4.1, release-4.2,release-4.3,release-4.4, release-4.5"		Done	Done
55			Bloomberg	Smart Index Installation Packs	http://bitbucket.cssrd.local/projects/SIIP/repos/bloomberg/browse		Smart Index Installation Packs	http://bamboo.cssrd.local/browse/SIIP-BLOOM-55/artifact	MASTER	"release-2.5, release-2.6, release-4.4, release-4.5"		Done	Done
56			MsgFileConnector	Smart Index Installation Packs	http://bitbucket.cssrd.local/projects/SIIP/repos/msgfileconnector/browse		Smart Index Installation Packs	http://bamboo.cssrd.local/browse/SIIP-EXC-129/artifact	MASTER	"release-2.6, release-2.7, release-4.4, release-4.5"		Done	Done
57			EmailMailBoxConnector	Smart Index Installation Packs	http://bitbucket.cssrd.local/projects/SIIP/repos/emailmailboxfileconnector/browse		Smart Index Installation Packs	http://bamboo.cssrd.local/browse/SIIP-EMC-29/artifact	MASTER	"release-2.0, release-2.1, release-4.4, release-4.5"		Done	Done
58			YieldBroker	Smart Index Installation Packs	http://bitbucket.cssrd.local/projects/SIIP/repos/yieldbroker/browse		Smart Index Installation Packs	http://bamboo.cssrd.local/browse/SIIP-YB-59/artifact	MASTER	"release-2.3, release-2.4, release-2.5, release-4.4, release-4.5"		Done	Done
59			FXT	Smart Index Installation Packs	http://bitbucket.cssrd.local/projects/SIIP/repos/fxt/browse		Smart Index Installation Packs	http://bamboo.cssrd.local/browse/SIIP-FXT-47/artifact	MASTER	"release-1.1, release-1.2, release-1.3, release-4.4, release-4.5"		Done	Done
60			TRC	Smart Index Installation Packs	http://bitbucket.cssrd.local/projects/SIIP/repos/thomsonreuters/browse		Smart Index Installation Packs	http://bamboo.cssrd.local/browse/SIIP-NIT-95/artifact	MASTER	"release-2.4, release-2.5, release-2.6, release-4.4, release-4.5"		Done	Done
61			Reconciliation Report	Smart Index Installation Packs	http://bitbucket.cssrd.local/projects/SIIP/repos/reconciliationreporting/browse		Smart Index Installation Packs	http://bamboo.cssrd.local/browse/SIIP-RR-18/artifact	MASTER	"release-4.4, release-4.5, release-4.5.1"		Done	Done
62			Attivio_4x	External	http://bitbucket.cssrd.local/projects/EX/repos/attivio-4.x/browse		Attivio Sources	http://bamboo.cssrd.local/browse/AS-AT4X-196/artifact	MASTER	"release-2.7, release-2.8, release-2.9, release-4.4, release-4.5"		Done	Done
63			Base	Smart Index Customer Configurations	http://bitbucket.cssrd.local/projects/SICC/repos/base/browse		Smart Index Customer Configurations	http://bamboo.cssrd.local/browse/SICC-BASE-261/artifact	MASTER	"release-1.25, release-1.26, release-4.4, release-4.5"		Done	Done
64			StandardConnectivityKit	Smart Index Customer Configurations	http://bitbucket.cssrd.local/projects/SICC/repos/standardconnectivitykit/browse		Smart Index Customer Configurations	http://bamboo.cssrd.local/browse/SICC-GEN-386/artifact	MASTER	"release-4.2, release-4.3, release-4.4, release-4.5"		Done	Done
65			SmartIndex Linux Installer	CS	http://bitbucket.cssrd.local/projects/CS/repos/smartindexinstaller.linux/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-SIIL-71/artifact	MASTER	"release-4.2, release-4.3, release-4.4, release-4.5"		Done	Done
66			Nice.ActiveIntelligence.Core	CS	http://bitbucket.cssrd.local/projects/CS/repos/nice.activeintelligenceengine.core/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-AIEC-63/artifact	MASTER	"release-1.15, release-1.16, release-1.17, release-1.18, release-1.19"		Done	Done
67	Need to check with HITESH		ActiveIntelligence.Installer.Utils	CS	http://bitbucket.cssrd.local/projects/CS/repos/activeintelligenceengine.installer.utils/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-AC-17/artifact	MASTER	"release-1.6, release-1.7"		Done	Done
68	Need to check with HITESH		ActiveIntelligence.Setup	CS	http://bitbucket.cssrd.local/projects/CS/repos/activeintelligenceengine.setup/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-SII-721/artifact	MASTER	"release-4.1, release-4.2,release-4.3,release-4.4, release-4.5"		Done	Done
69	Need to check with HITESH		Nice.ActiveIntelligenceEngine	CS	http://bitbucket.cssrd.local/projects/CS/repos/nice.activeintelligenceengine/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-NAIE-292/artifact	MASTER	"release-1.22, release-1.23, release-1.24, release-1.25.0, release-4.4, release-4.5"	BaseResolveJarsFromArtifactory - Create a build plan for this component as well	Done	Done
70			CommunicationWorkItemPublisher	CS	http://bitbucket.cssrd.local/projects/CS/repos/communicationworkitempublisher/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-CWIP-133/artifact	MASTER	"release-4.1, release-4.2,release-4.3,release-4.4, release-4.5"		Done	Done
71			HTR	External	http://bitbucket.cssrd.local/projects/EX/repos/nice-integration/browse		Attivio	http://bamboo.cssrd.local/browse/AT-HOL-65/artifact	MASTER	"release-1.3, release-4.4, release-4.5, release-4.5.1"		Done	Done
72			Retention Manager	External	http://bitbucket.cssrd.local/projects/CS/repos/nice.smartindex.indexretentionmanager/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-IRM	MASTER	"release-1.3, release-1.4, release-1.4.1, release-4.4, release-4.4.1, release-4.5, release-4.5.1"		Done	Done
73			Communication Intelligence Export	Communication Intelligence Export	http://bitbucket.cssrd.local/projects/CIE/repos/communication-intelligence-export/browse		Attivio	http://bamboo.cssrd.local/browse/AT-CIE-36/artifact	MASTER	"release-4.2, release-4.2.1, release-4.3, release-4.4, release-4.5"	Getting 404 for Cybertech.Redundancy	Done	Done
74	Need to check with HITESH		BOA Scenario Report	CS	http://bitbucket.cssrd.local/projects/CS/repos/scenario.interaction.details.importer/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-MSNTR-16/artifact	MASTER	"release-1.0, release-4.4, release-4.5"		Done	Done
75			ActiveIntelligence.Installer.Utils	CS	http://bitbucket.cssrd.local/projects/CS/repos/connectors/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-CF-69/artifact	MASTER	"release-1.0, release-2.0, release-4.4, release-4.5"		Done	Done
76	Need to check with HITESH		Monitoring Reporting	CS	http://bitbucket.cssrd.local/projects/CS/repos/csmonitoringrepor/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-CSMON-11/artifact	MASTER	release-4.5		Done	Done
77			ApplicationPlugins.Fusion.CallSearch	Fusion plugins	http://bitbucket.cssrd.local/projects/fp/repos/applicationplugins.fusion.callsearch/browse		ApplicationPlugins	http://bamboo.cssrd.local/browse/AP-APFCS0-2/artifact	MASTER			Done	Done
78			MediaSources.NTR.Configuration	CS Media Sources	http://bitbucket.cssrd.local/projects/csms/repos/nicetradingrecording.configuration/browse		Communication Surveillance Media Sources	http://bamboo.cssrd.local/browse/CSMS-MSNC-56/artifact	MASTER	"release-1.0.0, release-2.0.0, release-3.0.0"		Done	Done
79			NiceTradingRecording.ExternalUserSource	CS Media Sources	http://bitbucket.cssrd.local/projects/CSMS/repos/nicetradingrecording.externalusersource/browse		Communication Surveillance Media Sources	http://bamboo.cssrd.local/browse/CSMS-MNEUS-6/artifact	MASTER	release-1.0.0		Done	Done
80			NiceTradingRecording.Plugin	CS Media Sources	http://bitbucket.cssrd.local/projects/csms/repos/nicetradingrecording.plugin/browse		Communication Surveillance Media Sources	http://bamboo.cssrd.local/browse/CSMS-MED-20/artifact	MASTER	"release-1.0.0, release-2.0.0"		Done	Done
81			Nice.Microsoft.IIS75.AppInitialization		just found nuget in artifactory							Done	Done
82			Nice.Microsoft.vcredist100_x64	Third Party Wrappers	http://bitbucket.cssrd.local/projects/TPW/repos/nice.microsoft.vcredist100/browse		NuGet packages for 3rd party components	http://bamboo.cssrd.local/browse/NPF3P-NMVR100-5/artifact	MASTER	release-1.0		Done	Done
83			Nice.MS.Exchg.ExtUS.NuGet									Done	Done
84			Erlang	Third Party Wrappers	http://bitbucket.cssrd.local/projects/TPW/repos/erlang/browse		NuGet packages for 3rd party components	http://bamboo.cssrd.local/browse/NPF3P-ERLA-22/artifact	MASTER	"release-10.6, release-10.7, release-10.8, release-10.9"		Done	Done
85			Alvas.Audio	Third Party Wrappers	http://bitbucket.cssrd.local/projects/TPW/repos/alvas.audio/browse			http://bamboo.cssrd.local/browse/DIR-AL-13/artifact	MASTER	release-8.2		Done	Done
86			ApplicationFramework.ConfigurationService	CS	http://bitbucket.cssrd.local/projects/CS/repos/applicationframework.configurationservice/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-CON-20/artifact	MASTER	"release-1.1, release-1.2"		Done	Done
87			Nice.ProactiveCompliance.Installer	CS	http://bitbucket.cssrd.local/projects/CS/repos/nice.proactivecompliance.installer/browse	Bamboo plan conversion on hold	Communication Surveillance	http://bamboo.cssrd.local/browse/CS-CSI-843/artifact	MASTER	"release-4.1, release-4.2, release-4.3, release-4.4, release-4.5"		Done	Done
88			SmartIndexInstaller.Linux	CS	http://bitbucket.cssrd.local/projects/CS/repos/smartindexinstaller.linux/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-SIIL-71/artifact	MASTER	"release-4.2, release-4.3, release-4.4, release-4.5"		Done	Done
89			TranscriptionAgent.Bootstrapper	CS	http://bitbucket.cssrd.local/projects/CS/repos/transcriptionagent.bootstrapper/browse	Bamboo plan conversion on hold	Communication Surveillance	http://bamboo.cssrd.local/browse/CS-TAB-397/artifact	MASTER	"release-4.1, release-4.2, release-4.3, release-4.4, release-4.5"		Done	Done
90			Supervision.Installer	Supervision	http://bitbucket.cssrd.local/projects/SUP/repos/supervision.installer/browse	Bamboo plan conversion on hold	Supervision	http://bamboo.cssrd.local/browse/SUP-SUP-691/artifact	MASTER	"release-4.1, release-4.2, release-4.3, release-4.4, release-4.5"		Done	Done
91			Supervision.Reconcilliation	Supervision	http://bitbucket.cssrd.local/projects/SUP/repos/supervision.reconcilliation/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-SUP-11/artifact	MASTER	"release-1.0, release-1.1"		Done	Done
92			IndependentObserve	CS	http://bitbucket.cssrd.local/projects/CS/repos/independentobserve/browse	Bamboo plan conversion on hold	Communication Surveillance	http://bamboo.cssrd.local/browse/CS-IOP-70/artifact	MASTER			Done	Done
93			SmartIndex Linux Installer	CS	http://bitbucket.cssrd.local/projects/CS/repos/s3downloader/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-S3DOW-5/artifact	MASTER	release-4.5		Done	Done
94			EmailFilterService	CS	http://bitbucket.cssrd.local/projects/CS/repos/emailfilterservice/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-EFS	MASTER	release-4.5		Done	Done
95			CS-ActOne	CS	http://bitbucket.cssrd.local/projects/CS/repos/cs-actone/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-CSAC-47/artifact	MASTER	"release-4.1, release-4.2, release-4.3, release-4.4, release-4.5"		Done	Done
96			AVA.Installer	CS	http://bitbucket.cssrd.local/projects/CS/repos/ava.installer/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-AI-24/artifact	MASTER	"release-4.2, release-4.3, release-4.4"		Done	Done
97			RCMPlugins	CS Plugins	http://bitbucket.cssrd.local/projects/CSP/repos/rcmplugins/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-CSRCMPLUG-5/artifact	MASTER	"release-1.0, release-1.1"		Done	Done
98			InstallerDownloader	CS Test Tooling	http://bitbucket.cssrd.local/projects/CSTT/repos/installerdownloader/browse	Bamboo plan conversion on hold	Communication Surveillance Test Tooling	http://bamboo.cssrd.local/browse/CSTT-ID267-9/artifact	release-1.5			Done	Done
99			Nice.QueryLevelReporting	CS	http://bitbucket.cssrd.local/projects/CS/repos/nice.querylevelreporting/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-QLR-3/artifact	MASTER	release-1.0.0		Done	Done
100			AttivioApi	CS	http://bitbucket.cssrd.local/projects/CS/repos/attivioapi/browse		CoreLibraries	http://bamboo.cssrd.local/browse/COR-ATA-36/artifact	MASTER	release-2.1		Done	Done
101			AVA-Reports	CS	http://bitbucket.cssrd.local/projects/CS/repos/ava-reports/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-AVA-16/artifact	MASTER	release-1.0		Done	Done
102			CoreLibraries.Nexidia.SearchGrid.Client	CS	http://bitbucket.cssrd.local/projects/CS/repos/corelibraries.nexidia.searchgrid.client/browse		CoreLibraries	http://bamboo.cssrd.local/browse/COR-CNC-3/artifact	MASTER	relese-3.1.2		Done	Done
103			CyberTech.AlarmingV2	Compass	http://bitbucket.cssrd.local/projects/COM/repos/cybertech.alarmingv2/browse		Compass	http://bamboo.cssrd.local/browse/FUS-AV2-8/artifact	MASTER	relese-6.5		Done	Done
104			CyberTech.Alarming	Essentials	http://bitbucket.cssrd.local/projects/ESS/repos/cybertech.alarming/browse		CyberTech	http://bamboo.cssrd.local/browse/CYB-CYBALA6-7/artifact	MASTER	release-6.10		Done	Done
105			CyberTechLibraries	Essentials	http://bitbucket.cssrd.local/projects/ESS/repos/cybertechlibraries/browse		CyberTech	http://bamboo.cssrd.local/browse/CYB-CYBLIB10-10/artifact	release-7.15			Done	Done
